Date,Open,High,Low,Close,Volume
2020-01-02,4.12,4.174,4.118,4.149,6276236
2020-01-03,4.156,4.162,4.133,4.139,4696738
2020-01-06,4.126,4.171,4.094,4.123,6665048
2020-01-07,4.134,4.16,4.128,4.155,4649595
2020-01-08,4.135,4.149,4.097,4.114,5628521
2020-01-09,4.138,4.165,4.134,4.158,3944317
2020-01-10,4.165,4.176,4.144,4.157,3795550
2020-01-13,4.156,4.205,4.141,4.202,3736392
2020-01-14,4.202,4.222,4.18,4.184,4099628
2020-01-15,4.184,4.19,4.145,4.152,3196074
2020-01-16,4.159,4.163,4.135,4.146,4162978
2020-01-17,4.152,4.175,4.137,4.151,3216274
2020-01-20,4.156,4.183,4.142,4.181,3534883
2020-01-21,4.163,4.163,4.1,4.105,6182946
2020-01-22,4.089,4.133,4.034,4.119,9073933
2020-01-23,4.081,4.09,3.956,3.996,7535834
2020-02-03,3.73,3.736,3.636,3.659,14710758
2020-02-04,3.65,3.776,3.649,3.77,7358437
2020-02-05,3.784,3.855,3.768,3.807,5532875
2020-02-06,3.823,3.913,3.797,3.897,5279652
2020-02-07,3.87,3.892,3.844,3.888,3469891
2020-02-10,3.868,3.91,3.851,3.901,3985192
2020-02-11,3.909,3.96,3.907,3.943,4222588
2020-02-12,3.939,3.977,3.93,3.971,2907835
2020-02-13,3.97,3.985,3.938,3.95,3259610
2020-02-14,3.945,3.995,3.943,3.977,3139793
2020-02-17,3.986,4.07,3.986,4.064,5811401
2020-02-18,4.057,4.062,4.012,4.039,7099510
2020-02-19,4.036,4.069,4.029,4.04,4403772
2020-02-20,4.055,4.144,4.039,4.131,6052411
2020-02-21,4.123,4.178,4.117,4.145,4444702
2020-02-24,4.123,4.136,4.082,4.112,3727273
2020-02-25,4.051,4.116,4.012,4.104,6038308
2020-02-26,4.064,4.118,4.048,4.07,6417934
2020-02-27,4.083,4.097,4.061,4.071,4753305
2020-02-28,4.01,4.019,3.924,3.933,5600710
2020-03-02,3.948,4.09,3.948,4.076,4266837
2020-03-03,4.117,4.139,4.055,4.073,4087761
2020-03-04,4.065,4.104,4.048,4.102,2954533
2020-03-05,4.151,4.208,4.111,4.2,5478313
2020-03-06,4.167,4.169,4.117,4.121,2499877
2020-03-09,4.068,4.068,3.981,3.99,4236424
2020-03-10,3.992,4.088,3.943,4.078,8596482
2020-03-11,4.078,4.078,4.009,4.011,7032694
2020-03-12,3.973,3.975,3.919,3.948,3881192
2020-03-13,3.833,3.93,3.75,3.889,7178929
2020-03-16,3.885,3.885,3.716,3.726,5710801
2020-03-17,3.759,3.788,3.615,3.693,9852559
2020-03-18,3.706,3.763,3.626,3.631,7833048
2020-03-19,3.634,3.647,3.492,3.596,12481638
2020-03-20,3.612,3.657,3.582,3.644,6786895
2020-03-23,3.54,3.582,3.513,3.526,8072781
2020-03-24,3.589,3.623,3.536,3.611,8328985
2020-03-25,3.693,3.721,3.67,3.706,10100836
2020-03-26,3.683,3.722,3.67,3.683,3556542
2020-03-27,3.729,3.754,3.698,3.7,4915443
2020-03-30,3.659,3.685,3.63,3.666,4971344
2020-03-31,3.703,3.706,3.66,3.669,3740030
2020-04-01,3.664,3.723,3.654,3.673,3554389
2020-04-02,3.658,3.728,3.641,3.723,4630489
2020-04-03,3.71,3.724,3.683,3.697,3247170
2020-04-07,3.76,3.793,3.758,3.78,5467405
2020-04-08,3.766,3.779,3.752,3.765,2219175
2020-04-09,3.781,3.788,3.77,3.776,3285436
2020-04-10,3.776,3.812,3.746,3.764,4642472
2020-04-13,3.75,3.758,3.732,3.743,2466969
2020-04-14,3.76,3.808,3.755,3.805,3761248
2020-04-15,3.805,3.814,3.781,3.783,2392008
2020-04-16,3.77,3.797,3.766,3.785,2273172
2020-04-17,3.814,3.845,3.81,3.819,5704809
2020-04-20,3.826,3.836,3.813,3.835,3822960
2020-04-21,3.82,3.825,3.77,3.795,2927572
2020-04-22,3.779,3.83,3.772,3.829,3456710
2020-04-23,3.832,3.842,3.812,3.822,2015207
2020-04-24,3.807,3.812,3.778,3.79,3058295
2020-04-27,3.792,3.833,3.787,3.807,3094609
2020-04-28,3.82,3.844,3.756,3.831,4228656
2020-04-29,3.826,3.865,3.823,3.851,2778349
2020-04-30,3.865,3.916,3.863,3.908,5279980
2020-05-06,3.865,3.926,3.86,3.918,3834535
2020-05-07,3.918,3.925,3.899,3.911,2746388
2020-05-08,3.929,3.972,3.927,3.953,3706743
2020-05-11,3.959,3.992,3.935,3.946,4123096
2020-05-12,3.947,3.96,3.917,3.945,5866052
2020-05-13,3.933,3.96,3.92,3.954,2783969
2020-05-14,3.94,3.94,3.917,3.921,3001796
2020-05-15,3.928,3.94,3.901,3.902,5435704
2020-05-18,3.901,3.938,3.892,3.914,3020530
2020-05-19,3.95,3.957,3.932,3.943,2781211
2020-05-20,3.94,3.944,3.92,3.927,1975618
2020-05-21,3.933,3.94,3.899,3.901,2365234
2020-05-22,3.898,3.898,3.813,3.815,5328616
2020-05-25,3.812,3.829,3.797,3.817,2505597
2020-05-26,3.834,3.866,3.834,3.863,4751108
2020-05-27,3.863,3.864,3.833,3.845,2311996
2020-05-28,3.847,3.884,3.815,3.85,2840731
2020-05-29,3.83,3.869,3.823,3.866,2509198
2020-06-01,3.898,3.976,3.895,3.968,3509289
2020-06-02,3.968,3.989,3.96,3.979,1628382
2020-06-03,3.998,4.02,3.976,3.978,3657525
2020-06-04,3.991,3.995,3.965,3.98,2813844
2020-06-05,3.979,4.004,3.965,4.003,2013596
2020-06-08,4.02,4.047,4.012,4.022,2856037
2020-06-09,4.024,4.05,4.013,4.049,2944925
2020-06-10,4.045,4.046,4.027,4.04,3183572
2020-06-11,4.033,4.05,3.984,4.003,3051933
2020-06-12,3.962,4.023,3.942,4.013,3090733
2020-06-15,3.982,4.009,3.955,3.956,2805261
2020-06-16,3.995,4.019,3.991,4.018,2476953
2020-06-17,4.02,4.023,3.996,4.022,2790256
2020-06-18,4.013,4.055,4.005,4.053,3430027
2020-06-19,4.05,4.125,4.05,4.105,3695636
2020-06-22,4.105,4.14,4.097,4.109,5212442
2020-06-23,4.1,4.133,4.086,4.128,3981678
2020-06-24,4.138,4.167,4.136,4.164,4579422
2020-06-29,4.15,4.16,4.106,4.128,2126550
2020-06-30,4.148,4.192,4.146,4.178,5424685
2020-07-01,4.187,4.276,4.183,4.272,5740641
2020-07-02,4.27,4.375,4.263,4.37,5504378
2020-07-03,4.386,4.464,4.369,4.457,5867687
2020-07-06,4.527,4.799,4.508,4.784,9293175
2020-07-07,4.821,4.85,4.724,4.736,10745019
2020-07-08,4.734,4.838,4.708,4.798,9034869
2020-07-09,4.796,4.884,4.76,4.872,6424342
2020-07-10,4.838,4.857,4.763,4.785,5644168
2020-07-13,4.782,4.927,4.777,4.885,8243783
2020-07-14,4.877,4.899,4.765,4.842,7376414
2020-07-15,4.86,4.895,4.765,4.784,6624029
2020-07-16,4.79,4.828,4.55,4.556,12899181
2020-07-17,4.57,4.654,4.541,4.605,9042924
2020-07-20,4.647,4.74,4.585,4.727,7249762
2020-07-21,4.749,4.764,4.711,4.739,4653507
2020-07-22,4.732,4.856,4.728,4.792,7054372
2020-07-23,4.742,4.789,4.662,4.766,4305771
2020-07-24,4.726,4.742,4.527,4.554,6482820
2020-07-27,4.583,4.616,4.537,4.582,3111014
2020-07-28,4.615,4.641,4.587,4.617,3742573
2020-07-29,4.605,4.753,4.599,4.749,4883854
2020-07-30,4.75,4.757,4.709,4.714,2974744
